PR;BD;Mois;PS
6.8;1.5;0.14;311
6.8;1.6;0.14;301
6.7;1.5;0.14;307
6.8;1.5;0.13;308
6.7;1.5;0.14;305
6.6;1.5;0.14;301
6.8;1.5;0.14;307
6.7;1.6;0.13;308
6.7;1.6;0.14;305
6.6;1.5;0.14;304
6.1;1.4;0.18;221
5.8;1.4;0.18;222
5.9;1.4;0.18;223
6.1;1.4;0.16;227
6.0;1.4;0.18;229
6.0;1.3;0.18;222
5.9;1.4;0.17;223
5.8;1.3;0.18;223
5.8;1.4;0.17;220
4.7;1.4;0.17;221
4.8;1.3;0.24;175
4.8;1.3;0.24;176
4.7;1.2;0.24;178
4.6;1.2;0.25;180
4.8;1.2;0.24;178
4.7;1.3;0.24;180
4.7;1.2;0.24;176
4.4;1.2;0.24;175
4.4;1.2;0.25;180
4.5;1.2;0.25;181
3.7;1.1;0.30;127
3.6;1.1;0.30;128
3.6;1.1;0.30;119
3.5;1.1;0.30;121
4.0;1.1;0.30;126
4.0;1.1;0.30;120
3.8;1.1;0.29;120
3.7;1.1;0.30;121
3.7;1.1;0.30;119
3.5;1.1;0.29;127
1.8;1.1;0.29;88
2.0;1.0;0.37;80
2.1;1.0;0.37;79
1.8;1.0;0.38;76
1.9;1.0;0.38;79
1.8;1.0;0.37;82
1.9;1.0;0.37;80
2.0;1.0;0.37;88
2.0;1.0;0.38;87
2.1;1.0;0.38;87
